Energy (KeV)	Coef At Lin (cm-1)

1	2500
1.04	2270
1.07	2070
1.07	2070
1.5	819
2	361
2.47	195
2.47	197
2.64	162
2.82	133
2.82	135
3	113
4	48
5	24.6
6	14.2
8	5.99
10	3.1
15	1.03
20	0.539
30	0.291
40	0.228
50	0.202
60	0.188
80	0.171
100	0.16
150	0.143
200	0.13
300	0.113
400	0.101
500	0.0921
600	0.0852
800	0.0748
1000	0.0672
1250	0.0601
1500	0.0547
2000	0.0469
3000	0.0376
4000	0.0321
5000	0.0285
6000	0.0259
8000	0.0225
10000	0.0204
15000	0.0175
20000	0.0161
